text_1	text_2	class
Суд Лондона запретил делиться материалами Э.Сноудена с другими странами.	Развязки на МКАД будут построены к 2016 году.	-1
Новосибирск готов к снегопадам на 90%.	Россию успокоят за семь лет.	-1
ООН запросила у мирового сообщества $415 млн помощи Непалу	В Пакистане вынесли приговор по делу о нападение на Малалу Юсуфзай	-1
Песков: санкции против Путина, введенные Киевом, могут быть пустышкой	Песков назвал пустышкой возможные украинские санкции против Путина	1
Полиция вновь начала задерживать митингующих в Балтиморе	В американском Балтиморе вновь начались задержания митингующих	1
Премьер-министра Ливии похитили вслед за его советником.	Похищенного ливийского премьера доставили в министерство внутренних дел.	-1
Минфин объяснил повышение пенсионного возраста импортозамещением	Вице-спикер Госдумы осудил идею повышения пенсионного возраста	-1
Петербуржцы отказываются от живой новогодней ели на Дворцовой.	Петербуржцы проголосуют за новогоднюю ель.	-1
Российские машиностроители отказались от помощи государства.	Машиностроители отказались от субсидий.	1
МЧС РФ располагает информацией о 40 пропавших туристах из РФ в Непале	В Непале нашлись 40 пропавших россиян	-1
Полиция поймала подозреваемого в стрельбе в Новом Орлеане.	Полиция задержала подозреваемого в стрельбе в Новом Орлеане.	1
Кризис на Кипре ударит по кредитованию населения в России.	Россия вовремя отказалась от Кипра.	-1
Газпром проведет новогодний корпоратив на олимпийском объекте в Сочи.	«Газпром» проведет новогодний корпоратив на своем олимпийском объекте.	1
"Жертвами тайфуна ""Випха"" в Японии стали 13 человек."	Жертвами тайфуна в Японии стали 13 человек.	1
Два самолета МЧС России в Нью-Дели ожидают открытия аэропорта Катманду	В Иерусалиме показали самую маленькую Библию в мире	-1
Индия и Китай вывели войска из спорного участка в Гималаях.	КНР и Индия вывели войска со спорной территории в Гималаях.	1
В Германии начался процесс по делу российских шпионов - супругов Аншлаг.	В Германии начался процесс над российскими шпионами.	1
Расходы Казани на празднование дня Победы составили 1,3 млн рублей.	Метр, выйди из тени - Как граждан стимулируют страховать дома и квартиры.	-1
Капелло определился с составом сборной на ближайшие матчи.	Фабио Капелло определился с расширенным составом.	-1
В Сеуле вертолет врезался в небоскреб.	Вертолет врезался в небоскреб в Сеуле.	1
В Москве задержана юрист экс-главы казахстанского БТА-банка.	Юрист экс-главы БТА-банка проболталась по телефону.	-1
35-й ММКФ объявил программу этого года.	"""Адель"" и другие."	-1
В Екатеринбурге задержали участника «Исламской партии Туркестана».	Subaru отзывает 1,2 млн автомобилей по всему миру - из-за возможного дефекта тормозной системы.	-1
Выделенные на петербургский туризм миллионы пошли в карман чиновника.	Бывший чиновник пошел по миру.	-1
Песков: санкции против Путина, введенные Киевом, могут быть пустышкой	Песков назвал пустышкой возможные украинские санкции против Путина	1
Самый дорогой билет на Олимпиаду в Сочи стоит 50 тыс. руб.	Оргкомитет «Сочи-2014» заработает на билетах 250 миллионов долларов.	-1
Известный рэпер задержан в Москве за разбойное нападение.	Рэпер Рома Жиган задержан в Москве по подозрению в разбое.	1
"Госдума разрешила начать суд над депутатом-""мандатоторговцем""."	Госдума разрешила судить депутата Ширшова.	-1
Задержан подозреваемый в убийстве на Сенном рынке в Петербурге.	Задержан подозреваемый в убийстве на Сенном рынке.	1
Польша запретила «Ночным волкам» проезд по своей территории	Словакия назвала условия проезда «Ночных волков» по своей территории	-1
СМИ: число жертв землетрясения возросло в Индии до 36 человек	Число жертв землетрясения в Непале составило почти 900 человек	-1
Создана комиссия по расследованию ДТП с автобусом в Ленобласти	Число пострадавших в трагическом ДТП в Ленобласти растет. Фото	-1
"""Посетивший"" с топором судью защитник Pussy Riot признан невменяемым."	Напавший на судью сторонник Pussy Riot признан невменяемым.	1
Петербургский авторынок замер на уровне прошлого года.	В подмосковном Долгопрудном взорван банкомат.	-1
Геннадий Онищенко уходит в отставку.	Тимакова опровергла отставку Онищенко.	-1
Ларри Кинг устроился на работу в Russia Today.	Ларри Кинг стал ведущим Russia Today.	1
Иран хочет запустить в космос персидского кота.	Иран решил отправить в космос персидского кота.	1
Байден: США поставят Израилю новые истребители F-35 в следующем году	США поставят Израилю истребители пятого поколения F-35	1
"""Ночные волки"": байкер задержан в ФРГ за ""несоответствие цели визита"""	"Суд в ФРГ отпустил байкера ""Ночных волков"""	-1
"Полиция захватила офис движения ""За права человека""."	Полиция открестилась от штурма офиса «За права человека».	-1
"""Единая Россия"" рассмотрит отставку А.Чеснакова 24 мая."	"КДК ""отлучил"" футболистов ""Алании"" и ""Динамо"" от игры на 23 матча."	-1
В Санкт-Петербурге произошла массовая драка: 15 задержанных.	В Санкт-Петербурге задержали 15 участников массовой драки.	1
На экономическом форуме в Санкт-Петербурге загорелось здание.	Дурова заметили на экономическом форуме в Санкт-Петербурге.	-1
